	title	cuisine	cost	price_level	food_rating	decor_rating	service_rating
44	Picco Restaurant	Californian	57.0	E	4.7	4.2	4.5
45	Seven Hills	Italian	61.0	E	4.7	4.2	4.5
46	State Bird Provisions	American	69.0	VE	4.7	4.1	4.6
47	Piperade	Spanish	57.0	E	4.6	4.4	4.4
48	Cole's Chop House	Steakhouse	80.0	E	4.6	4.4	4.4
49	Terra	American	92.0	VE	4.6	4.4	4.4
50	Prima Restaurant		56.0	E	4.6	4.3	4.4
51	Sons &amp; Daughters		120.0	VE	4.6	4.2	4.4
52	Iyasare	Japanese	54.0	M	4.6	4.3	4.3
53	Wood Tavern	Californian	49.0	M	4.6	4.0	4.4
54	Pizzaiolo	Italian	42.0	E	4.6	4.1	4.2
55	The Cheeseboard Pizza	Pizza	12.0	I	4.6	3.6	4.0
56	Alexander's Steakhouse	Steakhouse	95.0	VE	4.6	4.5	4.6
57	Zuni Café.	French	58.0	E	4.6	4.2	4.3
58	Harris' The San Francisco Steakhouse	Steakhouse	78.0	E	4.6	4.4	4.6
59	Spruce	New American	76.0	E	4.6	4.6	4.5
60	Boccalone Salumeria	Italian	22.0	I	4.6	3.6	3.9
61	Morimoto Napa	Japanese	70.0	VE	4.6	4.5	4.3
62	Pizzetta 211	Pizza	33.0	M	4.6	3.8	4.2
63	Market	American	45.0	E	4.6	4.3	4.5
64	Fatted Calf			M	4.6	3.7	4.4
65	L'Ardoise	French	53.0	E	4.6	4.2	4.4
66	Alexander's Steakhouse	Steakhouse	95.0	VE	4.6	4.5	4.6
67	Cockscomb	Californian	62.0	E	4.6	4.3	4.4
68	Central Market	Californian	50.0	M	4.6	4.1	4.4
69	Valette	Californian	68.0	VE	4.6	4.3	4.6
70	El Molino Central	Mexican	20.0	M	4.6	3.2	3.8
71	The Penny Ice Creamery Kiosk	Ice Cream Shop	6.0	I	4.6	3.7	4.3
72	Naschmarkt Restaurant	Austrian	53.0	M	4.6	4.3	4.6
73	Wing Wings		19.0	I	4.6	3.8	4.2
74	Stones Throw	New American	55.0	E	4.6	4.3	4.4
75	Commonwealth	American	76.0	VE	4.6	4.0	4.4
76	Chez TJ	French	133.0	VE	4.6	4.2	4.4
77	Range	American	65.0	E	4.6	4.1	4.3
78	Scopa	Italian	59.0	E	4.6	3.9	4.3
79	Bottega Napa Valley	Italian	67.0	E	4.6	4.6	4.5
80	Nopa	New American	52.0	E	4.6	4.3	4.4
81	Kiss Seafood	Seafood	86.0	VE	4.6	3.8	4.2
82	Atelier Crenn	French	245.0	VE	4.6	4.5	4.8
83	Boon Eat + Drink	Californian	29.0	M	4.6	3.7	4.3
84	Fatted Calf			M	4.6	3.7	4.4
85	Osake Japanese Restaurant	Japanese	42.0	E	4.6	4.3	4.4
86	FARM at Carneros	New American	78.0	VE	4.6	4.5	4.4
87	Hog Island Oyster Co		40.0	M	4.6	4.0	4.2
88	Stark's Steak &amp; Seafood	Steakhouse	65.0	E	4.6	4.4	4.3
89	Contigo	Tapas Bar	49.0	E	4.6	4.1	4.3
90	Mustards Grill	Californian	54.0	E	4.6	4.1	4.4
91	The Restaurant at Wente Vineyards	Californian	61.0	E	4.6	4.6	4.5
92	Perbacco	Italian	62.0	E	4.6	4.3	4.4
93	Puerto 27	Peruvian	40.0	M	4.6	4.3	4.1
94	Asena Restaurant	Mediterranean	41.0	M	4.6	4.0	4.5
95	Della Fattoria Downtown Café	Eclectic	24.0	M	4.6	4.0	4.0
96	Cafe La Haye	Cafe	57.0	E	4.6	4.1	4.4
97	Cowgirl Creamery Sidekick Cafe &amp; Milk Bar	Sandwich Shop	19.0	I	4.6	3.7	4.0
98	The Grill at Meadowood	American	92.0	VE	4.6	4.4	4.5
99	Rich Table		66.0	E	4.6	4.0	4.4
100	La Forêt	French	84.0	VE	4.6	4.3	4.5
101	Delfina	Italian	56.0	M	4.6	4.0	4.4
102	COI Restaurant		201.0	VE	4.6	4.4	4.6
103	Ad Hoc		69.0	VE	4.6	4.2	4.5
104	Ajanta Distinctive Indian Cuisine	Indian	33.0	M	4.6	4.1	4.4
105	Hog Island Oyster Co Inc	Oyster Bar	40.0	M	4.6	4.0	4.2
106	Vesta	Pizza	32.0	M	4.6	4.2	4.3
107	The Penny Ice Creamery	Ice Cream Shop	6.0	I	4.6	3.7	4.3
108	Cook St. Helena	Italian	44.0	E	4.6	3.8	4.3
109	Pläj Restaurant	Scandinavian	67.0	M	4.6	4.3	4.2
110	The Slanted Door	Vietnamese	60.0	E	4.6	4.3	4.2
111	Flea Street	New American	60.0	E	4.6	4.3	4.5
112	Mason Pacific	Bistro	59.0	M	4.6	4.3	4.5
113	La Taqueria	Mexican	14.0	I	4.6	3.2	3.9
114	SPQR	Italian	74.0	VE	4.6	4.0	4.3
115	Ragazza	Italian	40.0	M	4.6	3.7	4.1
116	Corso	Italian	45.0	M	4.6	4.0	4.5
117	Le Papillon		92.0	VE	4.6	4.5	4.6
118	Cotogna	Italian	57.0	E	4.6	4.2	4.3
119	Piqueo's	Peruvian	43.0	M	4.6	4.0	4.2
120	Zushi Puzzle	Japanese	70.0	VE	4.6	3.2	4.2
121	Ledford House	American	47.0	E	4.6	4.4	4.3
122	KEIKO à Nob Hill	French	173.0	VE	4.6	4.4	4.4
123	Solbar		69.0	VE	4.6	4.5	4.5
124	Campo Fina	Italian	41.0	M	4.6	4.3	4.4
125	Bar Crudo		49.0	M	4.6	4.0	4.1
126	Rivoli	Italian	57.0	E	4.6	4.4	4.6
127	Hana Japanese Restaurant	Japanese	47.0	M	4.6	3.9	4.2
128	Liholiho Yacht Club	Eclectic	63.0	E	4.6	4.3	4.4
129	The Penny Ice Creamery Pleasure Point	Ice Cream Shop	6.0	I	4.6	3.7	4.3
130	Manresa Bread		13.0	I	4.6	3.5	4.2
131	Manresa Bread		13.0	I	4.6	3.5	4.2
132	Millennium	Vegan	56.0	E	4.6	4.4	4.3
133	House of Prime Rib	English	64.0	E	4.6	4.2	4.5
134	Celadon	Eclectic	61.0	E	4.6	4.4	4.5
135	Yank Sing	Chinese	40.0	M	4.6	3.9	4.0
136	Lord Stanley	European	68.0	VE	4.6	3.8	4.4
137	Chapeau!	French	59.0	E	4.6	4.0	4.5
138	The Restaurant at Meadowood		214.0	VE	4.6	4.8	4.7
139	Willi's Seafood &amp; Raw Bar	Seafood	46.0	M	4.6	4.2	4.3
140	La Toque	French	118.0	VE	4.6	4.4	4.6
141	Mozzeria	Pizza	34.0	M	4.6	4.2	4.6
142	The Grill on the Alley	Steakhouse	62.0	E	4.5	4.3	4.3
143	Gioia Pizzeria	Pizza	16.0	M	4.5	3.5	3.8
144	Rhea's Café	Sandwich Shop	14.0	I	4.5	3.6	4.1
145	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
146	Sam's Social Club	New American	34.0	E	4.5	4.4	4.3
147	Angele Restaurant and Bar	French	55.0	E	4.5	4.3	4.4
148	Philz Coffee	Coffee Shop	7.0	I	4.5	3.8	4.3
149	Mr. and Mrs. Miscellaneous	Ice Cream Shop	10.0	I	4.5	3.9	4.0
150	Morton's The Steakhouse		82.0	VE	4.5	4.3	4.3
151	Limon Rotisserie	Peruvian	33.0	M	4.5	3.8	4.0
152	Sugo Trattoria	Italian	27.0	M	4.5	4.1	4.4
153	Lotus Cuisine of India	Indian	25.0	M	4.5	4.1	4.3
154	Saha Restaurant	Middle Eastern	43.0	E	4.5	4.1	4.3
155	Limón Rotisserie	Peruvian	33.0	M	4.5	3.8	4.0
156	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
157	Humphry Slocombe	Ice Cream Shop	7.0	I	4.5	3.6	4.0
158	Cindy's Backstreet Kitchen	Californian	46.0	E	4.5	4.1	4.3
159	R&amp;G; Lounge	Chinese	38.0	M	4.5	3.4	3.6
160	Scoma's Restaurant	Seafood	49.0	E	4.5	4.1	4.3
161	The Sea by Alexander's Steakhouse	Seafood	98.0	VE	4.5	4.4	4.4
162	Zachary's Chicago Pizza	Pizza	21.0	M	4.5	3.6	4.0
163	Mingalaba Restaurant	Burmese	27.0	M	4.5	3.8	4.0
164	Nemea Greek Taverna	Greek	43.0	M	4.5	4.5	4.4
165	Trabocco Kitchen and Cocktails	Italian	47.0	M	4.5	4.2	4.4
166	Ideale Restaurant	Italian	42.0	M	4.5	4.0	4.3
167	Il Casaro	Italian	26.0	M	4.5	3.9	4.2
168	Campton Place Restaurant	Californian	89.0	E	4.5	4.5	4.6
169	Vic Stewart's	Steakhouse	62.0	E	4.5	4.4	4.3
170	The Progress	Californian	82.0	VE	4.5	4.4	4.5
171	Bravas Bar de Tapas	Spanish	46.0	E	4.5	4.2	4.3
172	B*Star	Asian	28.0	M	4.5	3.7	4.1
173	Burma Superstar	Burmese	26.0	M	4.5	3.7	4.0
174	Bistro Central Parc	French	44.0	E	4.5	4.0	4.3
175	Marnee Thai Restaurant	Thai	26.0	I	4.5	3.6	4.0
176	Champa Garden	Laotian	20.0	I	4.5	3.2	3.5
177	Pakwan	Pakistani	18.0	I	4.5	3.1	3.6
178	Pakwan Restaurant		18.0	I	4.5	3.1	3.6
179	Enoteca Della Santina	Italian	48.0	E	4.5	4.1	4.2
180	Riva Cucina	Italian	39.0	M	4.5	4.1	4.4
181	Sai Jai Thai	Thai	15.0	M	4.5	3.1	3.7
182	Chloe's Cafe	Cafe	19.0	M	4.5	3.7	4.3
183	Viognier	French	60.0	E	4.5	4.2	4.4
184	the fig cafe &amp; winebar	French	36.0	M	4.5	4.0	4.3
185	Zachary's Chicago Pizza	Pizza	21.0	I	4.5	3.6	4.0
186	Jardinière	French	82.0	VE	4.5	4.6	4.5
187	Barndiva	American	60.0	E	4.5	4.4	4.2
188	The Richmond		43.0	E	4.5	3.8	4.2
189	Fringale Restaurant	French	53.0	E	4.5	3.9	4.4
190	La Sen Bistro	French	33.0	M	4.5	4.1	4.3
191	Laili	Mediterranean	32.0	M	4.5	4.5	4.3
192	Bellanico Restaurant and Wine Bar	Italian	41.0	M	4.5	4.0	4.4
193	Golden Boy Pizza	Pizza	10.0	I	4.5	3.3	4.0
194	Addendum		27.0	M	4.5	3.7	3.9
195	Flour &amp; Co		46.0	I	4.5	4.1	4.1
196	SO	Asian	18.0	I	4.5	3.1	3.8
197	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
198	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
199	Tamarine Restaurant &amp; Gallery	Vietnamese	54.0	E	4.5	4.3	4.2
200	Harvest Moon Café	Cafe	46.0	E	4.5	3.9	4.2
201	PABU Izakaya	Japanese	62.0	E	4.5	4.5	4.4
202	Gayle's Bakery &amp; Rosticceria		22.0	I	4.5	3.7	4.0
203	Greens Restaurant	Vegetarian	47.0	E	4.5	4.5	4.3
204	Scoma's Sausalito	Seafood	49.0	E	4.5	4.1	4.3
205	Farmstead at Long Meadow Ranch	Californian	49.0	E	4.5	4.4	4.3
206	La Costanera	Peruvian	61.0	E	4.5	4.5	4.1
207	Homestead	Californian	53.0	I	4.5	4.1	4.4
208	Michael Mina	New American	108.0	VE	4.5	4.6	4.5
209	Cafe Jacqueline	French	55.0	E	4.5	4.0	4.2
210	Kappou Gomi	Japanese	47.0	M	4.5	3.8	4.3
211	Rutherford Grill	American	45.0	E	4.5	4.2	4.3
212	John Bentley's Restaurant	New American	61.0	E	4.5	4.2	4.4
213	Marnee Thai Restaurant	Thai	26.0	M	4.5	3.6	4.0
214	Pakwan Restaurant		18.0	I	4.5	3.1	3.6
215	Sazon Peruvian Cuisine	Peruvian	29.0	M	4.5	3.2	4.2
216	Gioia Pizzeria	Pizza	16.0	I	4.5	3.5	3.8
217	Boulettes Larder	New American	50.0	M	4.5	4.0	4.0
218	Artisan Bistro	Bistro	53.0	E	4.5	4.0	4.5
219	Dynamo Donut &amp; Coffee	Coffee Shop	8.0	I	4.5	3.4	3.9
220	Zachary's Chicago Pizza	Pizza	21.0	M	4.5	3.6	4.0
221	Wine Spectator Greystone Restaurant	Italian	56.0	E	4.5	4.3	4.4
222	Plumed Horse		118.0	VE	4.5	4.6	4.6
223	The Sentinel	Cafe	12.0	I	4.5	3.2	4.1
224	Arizmendi Lakeshore	Pizza	11.0	I	4.5	3.4	4.1
225	Darwin Cafe	Eclectic	17.0	I	4.5	4.1	3.7
226	Arizmendi Bakery		11.0	I	4.5	3.4	4.1
227	Dynamo Donut &amp; Coffee	Cafe	8.0	I	4.5	3.4	3.9
228	Cowboy Fishing Co.	Seafood	29.0	M	4.5	3.8	4.2
229	Humphry Slocombe	Ice Cream Shop	7.0	I	4.5	3.6	4.0
230	The Picnic Basket	Cafe	15.0	I	4.5	3.5	4.2
231	New England Lobster Market &amp; Eatery	Seafood	26.0	M	4.5	3.7	3.9
232	Parada	Peruvian	51.0	E	4.5	4.2	4.3
233	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
234	Queen's Louisiana Po-Boy Cafe	Soul Food	24.0	I	4.5	3.2	4.3
235	Anchor Oyster Bar	Seafood	37.0	M	4.5	3.7	4.2
236	Brown Sugar Kitchen	Soul Food	24.0	M	4.5	3.9	4.2
237	Poggio Trattoria	Italian	53.0	M	4.5	4.5	4.4
238	Huxley	New American	52.0	E	4.5	4.3	4.3
239	Fish	Seafood	33.0	M	4.5	3.7	3.6
240	Bar Tartine	Eastern European	45.0	E	4.5	4.0	4.2
241	Sotto Mare	Italian	37.0	M	4.5	3.7	4.3
242	Osso Steakhouse	Steakhouse	78.0	VE	4.5	4.3	4.1
243	Farallon	Seafood	77.0	VE	4.5	4.7	4.5
244	Tommaso's Ristorante Italiano	Italian	33.0	M	4.5	3.8	4.3
245	Izakaya Sozai	Yakitori	36.0	M	4.5	3.9	4.0
246	Lucca Delicatessen	Italian	26.0	I	4.5	3.3	4.0
247	Rosso Pizzeria &amp; Mozzarella Bar	Pizza	33.0	M	4.5	3.7	4.2
248	Arizmendi Bakery &amp; Pizzeria		11.0	I	4.5	3.4	4.1
249	Bistro 29	French	40.0	M	4.5	3.9	4.3
250	Crab House at Pier 39	Seafood	23.0	M	4.5	4.1	4.2
251	Sushi Sam's Edomata	Japanese	43.0	M	4.5	3.4	3.8
252	Coqueta	Spanish	59.0	E	4.5	4.3	4.2
253	Redd Wood	Pizza	50.0	E	4.5	4.1	4.2
254	Locanda Positano	Italian	35.0	M	4.5	3.9	4.2
255	Dandelion Chocolate		14.0	I	4.5	4.3	4.1
256	Flour + Water	Italian	52.0	E	4.5	4.0	4.2
257	Locanda	Italian	56.0	E	4.5	4.1	4.2
258	Arizmendi Bakery &amp; Cafe	Cafe	11.0	I	4.5	3.4	4.1
259	Foreign Cinema	Californian	55.0	E	4.5	4.5	4.3
260	Ruth's Chris Steak House	Steakhouse	73.0	VE	4.5	4.3	4.4
261	Zachary's Chicago Pizza	Pizza	21.0	I	4.5	3.6	4.0
262	C Casa	Mexican	20.0	M	4.5	3.5	4.0
263	Martins West Gastropub	Gastropub	45.0	E	4.5	4.2	4.1
264	Nopalito	Mexican	30.0	M	4.5	4.0	4.2
265	Ristorante Umbria	Italian	42.0	M	4.5	3.9	4.4
266	Three Twins Ice Cream	Ice Cream Shop	7.0	I	4.5	3.4	4.1
267	Philz Coffee	Coffee Shop	7.0	I	4.5	3.8	4.3
268	Lotus Chaat and Spices	Indian	25.0	I	4.5	4.1	4.3
269	Burma Superstar	Chinese	26.0	M	4.5	3.7	4.0
270	Ariake	Japanese	44.0	E	4.5	3.6	4.2
271	The Peasant &amp; The Pear	Californian	43.0	E	4.5	4.2	4.3
272	Stella Alpina Osteria	Italian	54.0	E	4.5	4.0	4.3
273	Delarosa	Pizza	35.0	M	4.5	3.9	4.1
274	Rosso Pizzeria + Wine Bar	Pizza	33.0	M	4.5	3.7	4.2
275	Trattoria La Siciliana	Italian	41.0	M	4.5	3.6	3.8
276	Kin Khao	Thai	42.0	E	4.5	3.8	4.1
277	Bull Valley Roadhouse	American	50.0	M	4.5	4.2	4.4
278	Loló	Mexican	37.0	M	4.5	4.4	4.2
279	Craftsman and Wolves		16.0	I	4.5	4.2	4.1
280	Tadich Grill	Seafood	48.0	E	4.5	4.2	4.3
281	LaSalette Restaurant	Portuguese	45.0	E	4.5	4.1	4.3
282	Pathos Organic Greek Kitchen		62.0	E	4.5	4.5	4.5
283	Morton's The Steakhouse		82.0	VE	4.5	4.3	4.3
284	Trick Dog	Eclectic	36.0	M	4.5	4.1	4.1
285	Alexis Baking Company and Cafe		19.0	I	4.5	3.6	3.8
286	Shanghai Dumpling Shop	Chinese	21.0	M	4.5	3.0	3.5
287	Little Star Pizza	Pizza	23.0	M	4.5	3.7	4.0
288	Arizmendi Bakery		11.0	I	4.5	3.4	4.1
289	Oliveto Restaurant	Italian	54.0	E	4.5	4.3	4.3
290	Pakwan		18.0	I	4.5	3.1	3.6
291	FuseBox	Asian	31.0	M	4.5	3.7	4.1
292	Brenda's French Soul Food	Soul Food	26.0	M	4.5	3.9	4.1
293	The Village Pub	New American	76.0	E	4.5	4.4	4.4
294	La Gare	French	46.0	M	4.5	4.1	4.3
295	Lalime's	French	56.0	E	4.5	4.1	4.4
296	Little Star Pizza	Pizza	23.0	M	4.5	3.7	4.0
297	Prospect	New American	75.0	VE	4.5	4.4	4.4
298	Pizzeria Picco	Pizza	31.0	M	4.5	3.5	3.9
299	Thanh Long	Vietnamese	53.0	E	4.5	3.8	3.9
300	Pazzia Restaurant	Italian	40.0	M	4.5	3.6	4.4
301	Capannina	Italian	43.0	E	4.5	4.0	4.3
302	Parcel 104	Californian	59.0	E	4.5	4.1	4.2
303	Ruth's Chris Steak House	Steakhouse	73.0	VE	4.5	4.3	4.4
304	Burma Superstar	Burmese	26.0	M	4.5	3.7	4.0
305	Little Star Pizza	Pizza	23.0	M	4.5	3.7	4.0
306	Ryoko's Japanese Restaurant &amp; Bar	Japanese	34.0	M	4.5	3.4	3.7
307	M.H.Bread and Butter	American	17.0	I	4.5	3.6	3.6
308	The Ice Cream Bar	Ice Cream Shop	12.0	I	4.5	4.5	4.3
309	Flour &amp; Co Catering		46.0	E	4.5	4.1	4.1
310	Akiko's Sushi Bar	Sushi	54.0	E	4.5	4.1	4.3
311	La Mar Cebicheria Peruana	Peruvian	58.0	E	4.5	4.5	4.3
312	Postino	Italian	50.0	E	4.5	4.6	4.4
313	Dottie's True Blue Cafe	Cafe	20.0	M	4.5	3.8	4.1
314	Willi's Wine Bar	Eclectic	47.0	E	4.5	4.1	4.2
315	Della Santina's	Italian	48.0	M	4.5	4.1	4.2
316	Craftsman and Wolves: The Den	Cafe	16.0	M	4.5	4.2	4.1
317	5A5 Steak Lounge	Steakhouse	75.0	E	4.5	4.3	4.4
318	Bistro Don Giovanni	Italian	52.0	E	4.5	4.4	4.4
319	Mandalay Restaurant	Burmese	29.0	M	4.5	3.8	4.1
320	Flavor Bistro	New American	45.0	M	4.5	4.0	4.4
321	The Girl &amp; The Fig	French	48.0	E	4.5	4.2	4.3
322	Water Street Bistro	Bistro	17.0	I	4.5	4.0	4.2
323	Nopalito	Mexican	30.0	M	4.5	4.0	4.2
324	Amber Dhara	Indian	37.0	M	4.4	4.2	4.1
325	One Market Restaurant	American	65.0	E	4.4	4.3	4.4
326	Oswald	Californian	44.0	M	4.4	3.7	4.2
327	Amber India	Indian	37.0	M	4.4	4.2	4.1
328	Vanessa's Bistro		37.0	M	4.4	4.0	4.2
329	Angkor Borei	Cambodian	31.0	M	4.4	3.9	4.3
330	Pizzeria Delfina	Pizza	30.0	M	4.4	3.8	4.0
331	alaMar Kitchen &amp; Bar	Seafood	32.0	M	4.4	4.0	4.1
332	The Table	American	39.0	M	4.4	4.1	4.1
333	PizzaHacker	Pizza	23.0	I	4.4	3.6	3.9
334	DeAfghanan Cuisine	Afghani	21.0	I	4.4	3.6	3.8
335	Mr. Holmes Bakehouse	Dessert	11.0	I	4.4	3.6	4.0
336	Thorough Bread and Pastry		10.0	I	4.4	3.7	4.1
337	CREAM Livermore	Ice Cream Shop	6.0	I	4.4	3.8	4.1
338	Maykadeh Persian Cuisine	Persian	36.0	M	4.4	3.9	4.1
339	Top Dog		8.0	I	4.4	2.9	3.8
340	Lucy Restaurant &amp; Bar	Californian	59.0	E	4.4	4.4	4.4
341	Old Port Lobster Shack	Seafood	26.0	M	4.4	3.6	4.1
342	Ton Kiang	Chinese	30.0	M	4.4	3.5	3.8
343	Taqueria La Cumbre SM	Mexican	14.0	I	4.4	3.5	4.1
344	Khantoke Thai House	Thai	33.0	M	4.4	4.5	4.2
345	Kabul Afghan Cuisine	Afghani	28.0	M	4.4	3.9	4.0
346	Dish n Dash	Middle Eastern	24.0	M	4.4	3.8	4.0
347	Taqueria El Farolito	Mexican	12.0	I	4.4	3.0	3.7
348	Mission Cheese	American	30.0	M	4.4	4.0	4.0
349	Taqueria Tlaquepaque	Mexican	17.0	M	4.4	3.5	3.7
350	Il Davide	Italian	45.0	E	4.4	4.0	4.3
351	O'mei	Chinese	29.0	M	4.4	3.7	4.0
352	Ristorante Milano	Italian	50.0	E	4.4	3.9	4.3
353	La Note Restaurant Provencal	French	29.0	M	4.4	4.2	4.1
354	Deli Board	Sandwich Shop	18.0	I	4.4	3.9	4.1
355	Beretta	Italian	34.0	M	4.4	4.1	4.1
356	Farmshop	Californian	51.0	M	4.4	4.2	4.0
357	Kirala 2	Japanese	35.0	M	4.4	3.6	4.0
358	Hopscotch	American	45.0	E	4.4	3.8	4.2
359	Avatar's Punjabi Burrito	Indian	22.0	I	4.4	3.2	4.2
360	Wayfare Tavern	American	55.0	E	4.4	4.4	4.3
361	Hunan Home's Restaurant	Chinese	22.0	M	4.4	3.3	3.9
362	Alfred's SF	Steakhouse	62.0	VE	4.4	4.2	4.4
363	Shakewell	Mediterranean	44.0	E	4.4	4.0	4.2
364	Albona Restaurant	Italian	51.0	E	4.4	4.0	4.4
365	A 16	Italian	49.0	E	4.4	4.1	4.2
366	Balompie Cafe Inc	Salvadoran	17.0	I	4.4	3.7	4.1
367	Souvla	Greek	20.0	I	4.4	3.9	4.0
368	Osteria Stellina	Italian	50.0	E	4.4	3.9	4.1
369	Park Tavern	American	49.0		4.4	4.3	4.3
370	Udupi Palace	Indian	18.0	M	4.4	3.3	3.9
371	Vik's Chaat &amp; Market	Indian	15.0	I	4.4	3.2	3.6
372	Brix Restaurant and Gardens	New American	52.0	E	4.4	4.3	4.3
373	Terzo	Mediterranean	52.0	E	4.4	4.1	4.2
374	Fogo de Chão	Brazilian	68.0	E	4.4	4.3	4.4
375	54 Mint	Italian	46.0	E	4.4	4.1	4.3
376	Boon Fly Cafe	Californian	36.0	M	4.4	4.1	4.2
377	Taquerias El Farolito	Mexican	12.0	I	4.4	3.0	3.7
378	Taqueria Tlaquepaque	Mexican	17.0	M	4.4	3.5	3.7
379	1313 Main Restaurant	American	49.0	E	4.4	4.2	4.3
380	1601 Bar &amp; Kitchen	Sri Lankan	49.0	E	4.4	4.0	4.2
381	Avatar's	Indian	22.0	M	4.4	3.2	4.2
382	Sol Food	Puerto Rican	20.0	M	4.4	3.7	3.8
383	Amber Cafe	Indian	37.0	M	4.4	4.2	4.1
384	Underwood Bar &amp; Bistro		46.0	M	4.4	3.8	4.1
385	PUB REPUBLIC	American	23.0	M	4.4	4.3	4.2
386	Hog &amp; Rocks	Seafood	42.0	E	4.4	4.2	4.1
387	Le Garage	French	45.0	M	4.4	4.0	4.1
388	Espetus Churrascaria Brazilian Steak House	Brazilian	65.0	E	4.4	4.1	4.4
389	Risibisi	Italian	42.0	E	4.4	4.2	4.5
390	ICHI Sushi + NI Bar	Sushi	61.0	E	4.4	4.0	4.3
391	Model Bakery		13.0	I	4.4	3.5	3.8
392	Mission Chinese Food	Chinese	30.0	M	4.4	3.2	3.8
393	Taqueria Can-Cún	Mexican	12.0	I	4.4	3.1	4.0
394	Southie	American	28.0	M	4.4	3.6	4.1
395	Bette's Oceanview Diner	Diner	21.0	M	4.4	3.8	4.1
396	All Spice		79.0	VE	4.4	4.1	4.4
397	Taquerias El Favorito	Mexican	12.0	I	4.4	3.0	3.7
398	Oren's Hummus Shop	Israeli	19.0	I	4.4	3.6	4.0
399	Eric's Restaurant	Chinese	21.0	I	4.4	3.9	4.2
400	Al's Place	New American	62.0	M	4.4	3.9	4.4
401	Koi Palace	Chinese	33.0	M	4.4	3.8	3.6
402	Ca' Momi Enoteca	Italian	33.0	E	4.4	3.8	3.9
403	Pizzeria Delfina	Pizza	30.0	M	4.4	3.8	4.0
404	Oak &amp; Rye	Pizza	34.0	M	4.4	4.0	4.0
405	Jang Su Jang	Korean	25.0	I	4.4	3.9	4.0
406	Ike's Place	Sandwich Shop	13.0	I	4.4	3.3	3.9
407	Doña Tomás	Mexican	36.0	M	4.4	4.0	4.1
