,status_id,std_sentiment,comment_count,replies,student,learn,year,school,father,daughter,husband,age,college,young,chance,lesson,skill,teacher,program,achieve,degree,education,educator,key,complete,graduate,teach,opportunity,need,world,help,change,fight,core,ability,grow,better,accomplish,succeed,travel,accept,seek,desire,forgiveness,fate,care,people,war,kill,bad,america,issue,blame,action,fact,government,hurt,fix,victim,murder,treat,negative,innocent,poverty,trouble,politician,tired,trauma,poor,pay,rich,price,kid,child,marriage,teacher.1,parent,dad,raise,wife,mom,father.1,mother,father.2,brother,sister,son,daughter.1,work,hard,employee,manager,god,church,bible,right,hope,amazing,soul,grace,union,bless,jesus,religion,doctor,health,mental,illness,tumor,nurse,surgery,cancer,medication,disease,median_sentiment
12,102099916530784_1161796963894402,0.303978538359,6278,1828,1,2,55,13,0,7,11,4,2,4,7,0,0,0,0,0,1,0,0,1,1,0,0,0,46,18,24,11,1,0,0,3,25,0,0,13,0,3,0,0,0,12,107,7,1,44,10,3,0,1,5,2,0,0,0,0,5,1,1,0,3,0,1,0,10,2,0,4,20,7,1,0,1,6,3,2,13,0,7,0,5,9,9,7,43,19,0,0,34,0,0,98,84,46,0,5,1,3,2,0,0,0,4,1,0,3,0,1,0,1,0.0
13,102099916530784_1162180790522686,0.307054477862,11669,3983,77,275,158,740,62,143,27,108,65,166,6,39,11,510,23,13,21,128,8,14,4,17,172,7,412,264,166,86,17,6,56,67,163,7,11,1,8,4,6,0,0,50,421,3,11,61,9,24,4,7,52,0,8,8,3,2,28,10,9,0,86,6,7,1,26,131,15,2,509,560,3,510,201,312,27,7,76,62,44,62,240,131,760,143,222,120,3,1,71,1,1,377,88,103,21,15,1,76,4,1,50,6,7,6,0,8,0,3,67,0,0.0
14,102099916530784_1162428333831265,0.34268384916,6575,2402,38,94,76,304,17,42,16,48,18,46,11,14,7,220,4,4,12,94,4,9,6,9,46,4,224,71,66,28,6,5,18,9,77,1,1,0,2,0,2,0,10,12,134,2,5,26,3,11,4,2,35,2,4,1,1,0,4,6,2,0,29,3,4,0,3,42,4,3,181,191,1,220,51,66,4,4,21,17,20,17,7,4,198,42,119,47,0,0,44,5,0,123,48,56,8,9,0,14,1,0,13,2,5,0,0,1,0,0,24,2,0.0208333333333
15,102099916530784_1162871697120262,0.337224065823,8717,2650,2,18,58,21,241,4,60,6,15,34,18,8,0,2,0,1,3,14,0,13,3,0,53,6,211,109,24,25,0,0,3,24,107,3,1,2,1,2,2,1,83,33,207,1,0,28,5,0,2,2,19,1,3,2,1,0,3,12,3,1,4,0,2,0,6,1,7,6,39,84,2,2,36,203,13,34,23,241,37,241,22,41,125,4,114,64,0,0,380,4,6,171,127,98,26,11,1,117,11,4,0,4,1,0,0,0,0,1,0,0,0.0
16,102099916530784_1163473643726734,0.267789027116,2965,1190,3,44,42,18,353,11,25,15,10,43,6,4,1,2,2,4,2,22,0,4,0,2,87,4,85,107,30,36,7,0,4,31,94,1,3,1,1,2,0,1,0,49,107,0,4,18,5,3,3,1,27,12,5,5,1,1,7,16,0,6,1,0,3,0,7,8,5,1,67,179,2,2,74,494,17,58,49,353,37,353,20,37,231,11,163,67,0,2,311,1,0,110,44,73,8,1,0,141,2,1,2,1,0,1,0,1,0,1,0,0,0.0
17,102099916530784_1163480010392764,0.269448119774,1807,955,0,20,13,12,233,5,16,4,8,21,1,0,0,4,0,0,0,12,0,2,1,0,48,4,43,62,15,20,2,2,0,15,84,0,2,1,0,2,1,0,0,25,85,0,1,19,0,1,0,0,10,0,2,1,0,1,1,7,0,2,3,0,0,0,6,7,2,2,38,104,1,4,34,286,12,36,37,233,21,233,8,28,152,5,105,34,0,1,217,0,0,85,34,48,2,0,0,83,1,0,0,1,0,0,0,0,0,0,0,0,0.0
18,102099916530784_1163484733725625,0.288488905166,1246,399,0,6,12,8,131,5,31,8,8,22,2,1,0,1,0,0,1,7,0,0,0,0,23,2,50,44,6,8,0,0,2,7,60,1,0,3,0,0,3,0,0,24,61,0,0,9,1,0,0,1,11,1,1,1,1,0,3,7,0,2,2,0,0,0,5,7,6,1,34,83,3,1,53,188,7,59,28,131,16,131,10,32,83,5,103,25,0,0,106,0,1,48,17,25,1,2,1,49,0,0,4,4,0,0,0,0,0,0,0,0,0.0
19,102099916530784_1163491003724998,0.321538248971,4054,656,25,26,124,51,129,10,16,8,12,27,7,13,2,206,4,4,4,134,9,4,5,0,60,8,124,84,36,25,6,3,2,11,92,0,7,0,0,3,6,0,0,48,176,1,0,19,2,2,3,2,9,1,2,0,0,0,5,15,0,4,2,0,6,0,6,6,8,4,57,145,1,206,52,93,13,44,43,129,30,129,3,16,106,10,190,75,0,0,84,0,1,57,38,136,12,9,0,90,3,0,3,4,4,0,0,4,0,0,1,0,0.0
20,102099916530784_1163719060368859,0.30504301915,2850,584,29,15,50,50,1,19,3,6,3,8,1,4,2,195,4,2,1,98,5,6,4,1,55,3,77,59,26,13,7,1,3,2,25,2,2,0,2,2,2,0,0,25,61,0,0,9,0,0,1,0,2,2,1,0,0,0,0,1,0,2,0,0,2,1,1,10,4,2,11,26,0,195,6,3,5,0,23,1,15,1,2,10,22,19,107,53,1,0,48,0,0,54,26,85,12,9,0,54,1,0,0,10,4,0,0,2,0,0,0,0,0.0
21,102099916530784_1163727190368046,0.326789605099,6897,1318,69,40,131,138,7,36,8,10,10,39,4,12,5,598,13,5,4,347,34,8,3,5,110,4,231,202,85,44,16,5,5,9,108,4,14,0,2,1,1,0,1,83,246,2,5,27,5,3,3,1,13,3,4,0,0,0,4,5,1,1,3,1,7,0,2,28,1,3,28,128,0,598,55,7,10,4,72,7,50,7,9,33,67,36,336,207,0,2,181,1,0,108,97,265,23,13,2,235,3,3,2,10,10,3,1,2,0,1,2,0,0.0658163265306
22,102099916530784_1164125763661522,0.321912722436,5606,1804,148,197,191,346,16,46,15,40,40,42,16,33,16,597,36,22,12,551,38,8,12,12,341,10,351,148,138,79,109,282,54,13,98,3,6,2,5,2,3,0,0,66,305,5,43,21,21,11,9,1,26,27,6,9,1,0,7,5,2,6,6,1,6,2,15,43,6,5,23,262,1,597,63,12,10,4,50,16,39,16,8,30,110,46,335,137,1,2,117,0,0,155,103,174,22,10,2,132,3,1,1,6,7,1,0,5,0,1,2,1,0.09
23,102099916530784_1164738996933532,0.303434446917,3940,859,102,166,66,286,2,33,3,18,40,35,11,14,17,345,29,11,11,429,37,7,12,11,324,6,224,70,89,70,122,378,41,6,64,8,12,0,4,2,6,0,1,50,194,2,46,20,9,13,1,1,12,30,2,6,0,0,4,1,0,1,7,4,4,0,4,16,1,6,26,156,0,345,31,2,7,2,27,2,20,2,12,23,62,33,181,62,1,0,76,2,0,76,69,72,8,5,3,77,2,0,0,4,5,0,0,3,0,0,0,1,0.0
24,102099916530784_1164741856933246,0.30589169067,4531,1887,156,236,145,475,7,47,16,45,91,36,15,34,24,543,39,9,15,631,35,7,14,18,422,24,365,126,178,104,148,629,83,15,111,5,15,2,10,7,3,0,0,69,305,3,75,52,19,37,11,5,41,41,12,8,1,0,4,8,0,7,11,5,8,0,18,43,3,0,40,274,0,543,60,7,5,3,33,7,30,7,13,31,135,47,325,103,0,1,83,4,1,134,81,100,4,3,11,80,1,0,4,7,12,4,0,8,0,0,2,0,0.0
25,102099916530784_1165431333530965,0.258382741647,5888,2382,106,31,112,98,2,21,4,5,11,50,8,2,6,562,7,10,6,175,24,6,0,6,121,6,199,389,101,40,19,20,12,15,102,2,6,2,3,3,2,1,0,52,292,0,8,19,5,1,2,3,9,12,1,0,0,0,4,1,1,3,0,0,7,0,6,17,1,4,22,116,0,562,30,0,10,5,31,2,27,2,12,16,53,21,277,86,0,1,296,1,4,48,130,450,58,15,1,380,3,2,0,4,4,0,0,1,1,0,0,0,0.0
26,102099916530784_1165588073515291,0.38025410188,2054,623,40,15,50,141,0,6,2,4,3,21,1,4,2,227,5,2,3,65,6,0,1,5,33,6,97,131,43,12,9,14,1,3,32,1,2,1,0,1,1,0,0,22,106,1,3,6,1,0,1,1,4,0,1,0,0,0,1,1,0,2,0,0,6,0,1,15,0,1,12,36,0,227,16,0,6,0,20,0,23,0,7,6,53,6,114,46,0,0,82,0,0,33,51,171,25,2,2,108,1,0,0,4,5,1,0,65,0,0,0,0,0.0736111111111
27,102099916530784_1166062773467821,0.354582944071,1460,494,4,2,20,9,0,2,5,1,3,3,0,1,0,47,2,0,0,11,0,0,0,0,7,0,20,38,19,3,1,0,1,1,9,0,2,1,0,0,0,0,0,5,33,0,3,2,0,1,0,1,0,0,1,0,0,0,0,0,1,0,0,0,2,0,0,0,1,3,3,5,1,47,2,2,2,1,2,0,2,0,0,3,1,2,28,10,0,0,26,0,0,13,12,31,3,2,0,24,1,1,1,0,0,0,0,2,0,2,0,0,0.0
28,102099916530784_1166144996792932,0.337609551274,913,281,0,1,18,4,1,0,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,9,3,2,3,0,0,1,9,0,0,1,0,0,0,0,0,0,10,0,3,1,1,0,2,1,1,1,0,0,0,0,0,0,2,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,1,4,2,1,0,10,4,0,0,18,0,0,5,7,2,1,0,0,4,2,1,0,0,0,0,0,0,0,0,0,0,0.0
29,102099916530784_1166184810122284,0.351834565349,4622,1205,2,16,458,15,3,5,15,2,4,5,18,0,1,3,3,14,0,8,0,1,6,0,2,35,98,529,151,119,6,1,11,10,154,26,1,2,1,0,2,1,0,32,575,6,3,19,8,0,1,15,9,3,1,3,0,2,1,9,5,2,1,1,3,0,1,5,8,3,1,5,4,3,1,1,12,8,5,3,6,3,13,10,10,5,273,31,0,1,147,1,0,47,186,275,15,4,0,126,8,12,0,6,0,0,0,1,1,1,0,0,0.130625
30,102099916530784_1166258410114924,0.282086420408,1214,425,1,6,212,2,0,2,1,1,1,6,6,1,0,2,2,3,0,7,0,0,1,0,1,21,38,257,94,51,2,1,7,2,72,8,0,2,0,1,5,0,0,29,244,4,0,12,4,2,1,11,4,6,1,0,0,0,2,7,0,0,0,0,1,0,0,1,1,1,0,1,0,2,0,0,2,1,0,0,0,0,1,1,2,2,97,5,0,0,28,0,0,13,74,107,11,1,0,28,1,5,0,1,0,0,0,0,1,1,0,0,0.0
31,102099916530784_1166877320053033,0.398904016528,10577,1281,3,39,107,72,54,36,12,34,20,64,16,9,0,13,5,4,5,14,0,10,7,0,8,9,231,231,84,90,5,6,5,33,177,2,1,4,21,3,10,0,1,108,923,14,25,133,11,12,16,5,39,34,19,2,8,8,7,37,12,9,11,0,5,0,29,38,18,10,37,123,3,13,14,71,11,11,36,54,18,54,27,77,38,36,110,99,0,0,397,10,2,230,169,88,26,3,1,64,21,25,4,12,12,0,0,1,0,9,0,1,0.455
32,102099916530784_1167156683358430,0.363902599494,2318,473,1,3,17,8,1,2,3,6,5,8,53,2,1,2,1,1,1,7,0,1,3,0,0,9,46,29,28,26,1,0,1,1,17,0,2,0,1,0,1,0,0,4,120,0,2,16,4,2,2,1,3,1,0,0,0,10,1,1,0,0,6,0,3,0,0,9,1,1,3,24,0,2,1,5,3,2,3,1,2,1,6,3,3,2,34,22,0,0,65,0,0,54,65,27,2,0,0,21,4,3,0,3,1,0,0,0,0,1,0,0,0.160497835498
33,102099916530784_1167939706613461,0.305392126634,7344,1488,1,14,52,12,15,10,6,6,5,16,127,6,2,4,3,2,3,9,0,6,4,0,4,22,181,195,354,49,8,0,9,4,127,0,6,1,10,12,1,0,3,86,532,5,11,63,13,12,17,3,20,12,23,5,2,2,9,13,5,0,5,0,1,2,101,13,5,2,4,17,0,4,4,23,5,4,14,15,17,15,58,4,83,10,81,85,0,3,1034,4,15,164,399,72,79,6,0,167,32,37,14,135,295,159,1,7,0,2,14,11,0.0
34,102099916530784_1168099753264123,0.281457341623,17799,4746,18,29,203,52,23,31,26,21,53,83,16,8,1,10,4,5,11,10,1,12,20,3,12,19,346,398,314,52,14,3,13,14,299,0,6,27,24,13,10,0,2,109,1179,54,45,239,47,25,10,11,62,18,32,16,4,7,17,12,5,5,10,2,22,3,135,150,37,41,27,30,2,10,6,16,10,13,29,23,43,23,69,21,70,31,181,150,1,3,864,12,46,267,491,149,73,20,1,120,41,59,12,156,350,200,0,5,2,19,32,26,0.0
35,102099916530784_1168574259883339,0.337392138422,4877,1594,3,7,27,18,3,13,8,6,12,13,1,3,2,4,3,2,3,1,0,0,1,3,2,3,66,59,27,18,2,0,1,2,45,0,0,1,0,0,1,0,0,21,162,1,7,24,4,0,2,2,12,0,3,104,0,6,0,1,2,0,0,0,0,0,8,15,4,3,5,5,1,4,0,8,0,7,11,3,8,3,1,21,4,13,165,34,0,5,18,0,0,40,81,36,9,4,8,7,0,0,3,3,0,0,0,2,0,0,0,0,0.0
36,102099916530784_1169199766487455,0.260998543072,5819,1845,4,12,20,14,5,8,29,7,14,26,7,1,9,2,2,0,10,4,0,3,3,1,5,4,115,62,47,28,8,0,8,12,64,0,2,2,9,1,5,0,1,44,343,28,62,37,16,7,6,2,23,8,9,113,1,9,1,12,16,1,4,1,2,1,11,19,9,0,1,6,4,2,0,16,4,6,18,5,16,5,5,11,10,8,218,64,0,7,26,0,1,109,102,22,2,8,6,13,2,3,5,5,1,0,0,5,0,1,0,0,0.0
37,102099916530784_1169223379818427,0.295854548328,7621,2503,4,79,41,43,34,12,120,11,31,123,22,14,4,8,4,3,38,32,1,2,12,2,20,22,260,288,235,67,160,5,20,21,168,3,2,22,21,12,7,14,2,98,1359,967,384,131,133,13,69,18,74,149,47,9,13,23,18,49,81,6,10,6,8,57,71,26,18,9,11,27,5,8,7,30,6,27,10,34,33,34,87,6,49,12,114,116,1,4,226,1,0,367,358,45,48,2,0,185,11,18,5,35,31,4,0,10,0,6,1,5,0.0
38,102099916530784_1169994243074674,0.341267153446,12820,2283,18,110,59,70,82,22,167,45,78,182,40,13,3,8,28,5,26,50,0,7,17,1,20,30,513,382,832,125,156,10,37,81,405,7,16,7,42,45,9,109,6,241,1437,1132,105,143,98,24,80,19,99,125,118,19,12,9,23,63,50,6,11,12,11,149,206,53,16,31,33,54,43,8,17,187,11,40,121,82,40,82,155,13,59,22,240,290,3,0,550,4,2,325,1749,214,186,23,0,480,54,12,12,94,123,29,2,8,2,7,45,7,0.0
39,102099916530784_1170101736397258,0.33110559908,9221,2346,7,57,218,120,96,79,141,186,232,172,21,10,9,8,6,10,8,20,0,7,8,3,44,12,224,98,135,117,24,3,11,190,168,2,4,17,16,16,6,3,2,146,368,5,5,69,7,8,18,3,31,0,37,21,4,2,5,16,0,1,4,0,7,3,32,21,1,4,79,134,161,8,78,487,11,52,342,96,102,96,34,15,49,79,161,227,1,13,51,1,0,183,320,106,23,5,12,14,5,1,3,11,8,1,0,1,16,8,1,2,0.125
40,102099916530784_1170541656353266,0.322528785006,3880,1041,1,22,54,27,8,23,22,12,22,34,2,4,4,3,1,1,1,10,0,8,3,0,5,1,125,27,26,20,11,0,2,24,62,0,0,16,1,2,0,0,1,80,192,3,18,28,12,5,6,3,13,7,8,2,0,4,6,7,4,1,3,0,1,1,53,24,11,5,18,14,3,3,6,25,6,6,24,8,13,8,25,21,33,23,95,48,5,0,32,0,0,74,60,23,8,3,187,7,5,1,2,14,5,1,8,0,2,3,0,6,0.2
41,102099916530784_1170542353019863,0.298642923918,9503,3472,26,56,169,89,209,19,111,48,60,65,35,9,22,59,11,10,33,61,1,16,13,7,21,21,400,318,157,97,117,7,16,39,311,6,9,7,22,13,13,6,3,195,1175,34,18,220,186,74,69,19,100,151,26,31,7,4,22,24,3,28,11,7,14,2,85,626,81,37,23,134,7,59,53,138,38,31,73,209,75,209,65,12,33,19,1207,278,56,11,144,4,17,344,287,163,19,13,2346,47,10,23,20,121,6,3,0,12,7,19,1,4,0.0
42,102099916530784_1171170372957061,0.295833460833,16973,4436,6,33,66,21,130,17,32,7,4,32,60,18,7,6,1,14,2,8,0,9,12,3,14,37,184,447,166,120,9,7,8,11,235,18,9,9,7,8,11,3,4,72,442,12,10,61,184,8,4,17,25,7,14,3,5,0,8,8,2,2,4,2,4,6,18,34,3,7,11,25,13,6,25,132,6,21,48,130,96,130,19,11,25,17,390,91,0,1,701,7,1,168,694,844,59,15,89,403,17,4,55,329,3,5,720,2,157,105,0,5,0.1
43,102099916530784_1171302916277140,0.333563781306,3585,690,2,6,20,5,1,14,12,3,1,20,16,4,0,2,0,3,0,3,0,1,2,1,3,10,31,127,33,48,2,0,3,1,45,5,2,2,6,2,0,0,2,22,162,6,0,12,72,3,2,3,6,4,3,0,0,0,1,3,0,1,1,1,5,1,4,13,0,2,52,8,3,2,2,5,2,9,79,1,18,1,1,2,8,14,69,17,0,0,75,1,0,62,101,172,6,8,22,55,5,7,5,10,0,1,24,1,25,12,1,0,0.1
44,102099916530784_1171894682884630,0.316032919761,3976,1613,1,4,7,5,2,22,12,22,3,61,1,2,0,1,0,1,0,0,0,1,0,1,4,1,27,17,9,0,0,0,0,3,10,0,0,1,1,1,0,0,0,18,23,0,0,4,0,0,1,0,4,1,1,0,0,0,1,2,2,0,2,1,0,0,4,0,0,1,283,40,1,1,10,11,3,7,274,2,57,2,2,5,57,22,8,5,0,0,8,0,0,82,38,9,5,7,1,8,1,0,1,0,0,0,0,0,0,2,0,0,0.0
45,102099916530784_1172011346206297,0.269683926164,3384,1143,0,8,45,12,5,54,20,20,17,56,5,2,2,0,0,0,1,1,0,0,3,0,6,0,91,24,11,13,0,0,0,31,22,0,2,0,2,0,0,0,0,24,29,1,2,7,1,1,1,1,8,1,3,1,0,1,0,0,0,0,2,0,1,0,0,2,0,2,167,49,4,0,36,30,7,4,243,5,43,5,2,5,69,54,13,34,0,0,14,0,0,64,37,26,5,4,0,5,0,0,1,0,1,1,0,0,0,3,0,0,0.0
46,102099916530784_1172333812840717,0.34006985716,13238,2584,12,33,484,117,99,422,94,101,146,131,15,11,2,14,6,3,7,1,0,19,14,9,28,12,847,153,95,70,12,1,7,327,111,1,1,11,6,8,4,0,2,42,188,2,6,42,4,3,3,0,26,0,19,6,1,2,6,10,4,1,4,1,21,0,7,9,8,5,62,235,14,14,275,323,23,42,339,99,127,99,28,32,250,422,163,256,0,0,86,2,0,319,116,158,11,15,1,40,10,1,6,4,11,3,0,5,5,11,0,1,0.05
47,102099916530784_1172334999507265,0.338721072051,2022,626,2,10,33,16,13,14,12,7,17,13,3,3,1,4,0,4,5,10,0,2,3,1,2,4,44,41,25,28,1,2,1,8,29,0,1,7,3,0,0,2,2,26,136,4,1,22,8,2,6,3,6,11,0,1,5,1,2,0,2,0,1,3,4,1,5,12,6,0,12,16,8,4,3,21,2,15,22,13,19,13,7,5,7,14,160,27,4,4,50,2,0,52,60,22,4,1,0,19,6,5,2,6,5,4,0,4,0,23,1,1,0.0
48,102099916530784_1172350959505669,0.286766671308,4317,901,1,16,125,48,25,130,25,27,33,37,8,1,0,4,0,2,1,0,0,5,1,2,8,4,261,46,26,23,1,1,1,116,29,0,1,0,4,2,1,0,1,8,41,0,0,11,0,2,0,0,8,0,2,1,0,0,3,0,0,1,0,0,4,2,1,6,3,2,22,72,2,4,87,86,14,8,65,25,33,25,5,4,94,130,30,72,0,0,25,2,0,58,28,28,4,5,0,5,3,0,1,4,4,0,0,0,2,0,0,0,0.0
49,102099916530784_1173137959426969,0.345079466032,10978,2051,30,125,144,260,29,63,54,101,152,119,24,30,18,26,17,61,65,72,6,29,29,22,36,50,503,285,250,167,15,7,32,61,278,32,41,38,22,23,19,0,3,70,913,10,9,85,14,28,20,13,63,9,11,21,2,0,9,11,0,7,8,2,11,1,31,105,46,4,29,42,6,26,22,51,6,15,34,29,32,29,11,28,31,63,1811,554,27,12,89,3,3,364,188,82,52,11,1,35,14,0,67,32,28,6,0,10,51,5,11,6,0.025
50,102099916530784_1173557922718306,0.353357708747,4919,934,15,18,31,11,5,14,27,11,2,26,4,2,14,1,0,2,0,0,0,6,3,1,4,0,61,29,20,12,1,2,1,1,45,2,1,0,3,1,2,0,0,30,112,2,5,22,6,2,0,1,2,0,4,3,0,0,4,3,0,0,0,0,1,2,6,6,0,1,5,2,5,1,1,6,0,2,22,5,7,5,13,4,11,14,139,25,0,0,51,0,0,31,73,47,5,5,0,41,1,0,190,5,1,1,4,25,233,9,0,1,0.204166666667
51,102099916530784_1173864829354282,0.317148784069,11015,5854,6,23,23,20,0,6,17,22,5,40,5,2,3,3,0,1,0,2,0,4,3,1,7,1,193,53,26,11,4,1,4,21,60,1,0,1,1,6,0,0,0,33,363,1,11,37,7,16,4,0,23,2,14,4,4,2,9,61,8,0,2,1,4,0,22,10,5,1,4,3,4,3,0,9,1,5,17,0,18,0,4,104,2,6,101,25,0,0,38,11,1,291,125,100,10,14,1,11,0,2,53,14,7,1,3,15,57,10,4,10,0.125
